key,value,ci_lo,ci_hi,n,units,source,note
exp10.nominal.moderate.P10.rmse_mean,0.0975524984549388,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P10.rmse_std,0.000843542752969589,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P10.data_hz,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P10.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P10.total_w025,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P20.rmse_mean,0.0752539172223279,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P20.rmse_std,0.000283429790207082,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P20.data_hz,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P20.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.P20.total_w025,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.State_event.rmse_mean,0.169350228555524,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.State_event.rmse_std,0.0041974985588536,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.State_event.data_hz,43.246,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.State_event.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.State_event.total_w025,43.246,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.Causal_v3.rmse_mean,0.0892032140728966,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.Causal_v3.rmse_std,0.000504519836356545,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.Causal_v3.data_hz,134.835333333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.Causal_v3.ack_hz,107.618,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.moderate.Causal_v3.total_w025,161.739833333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.rmse_mean,0.147653567367204,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.rmse_std,0.00202573728694418,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.data_hz,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P10.total_w025,99.6666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.rmse_mean,0.1121247761703,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.rmse_std,0.00067400181138289,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.data_hz,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.P20.total_w025,199.666666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.rmse_mean,0.257606190687206,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.rmse_std,0.00852721997298155,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.data_hz,42.552,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.ack_hz,0,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.State_event.total_w025,42.552,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.rmse_mean,0.118809092660972,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.rmse_std,0.000842845483318617,NaN,NaN,50,m,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.data_hz,182.939333333333,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.ack_hz,109.606666666667,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.nominal.stressed.Causal_v3.total_w025,210.341,NaN,NaN,50,Hz,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.adaptivity.ordered,1,NaN,NaN,50,bool,results/exp10b_unified_matrix/2026-08-27_095330,"Causal DATA Clean < Moderate < Stressed"
exp10.pareto.moderate.w_0_10.nondominated_fraction,0.875,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.moderate.w_0_25.nondominated_fraction,0.875,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.moderate.w_0_50.nondominated_fraction,0.875,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.moderate.airtime.nondominated_fraction,0.875,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.moderate.broadcast.nondominated_fraction,0.25,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.stressed.w_0_10.nondominated_fraction,1,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.stressed.w_0_25.nondominated_fraction,0.75,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.stressed.w_0_50.nondominated_fraction,0.375,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.stressed.airtime.nondominated_fraction,0.375,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.pareto.stressed.broadcast.nondominated_fraction,0.375,NaN,NaN,8,fraction,results/exp10b_unified_matrix/2026-08-27_095330,"Causal-v3 non-dominated, 1 % dominance rule"
exp10.causal_beats_event.cells,17,NaN,NaN,17,cells,results/exp10b_unified_matrix/2026-08-27_095330,"lower mean RMSE than State-event"
exp10.causal_beats_p10.cells,15,NaN,NaN,17,cells,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.causal_beats_p20.cells,1,NaN,NaN,17,cells,results/exp10b_unified_matrix/2026-08-27_095330,""
exp10.causal_cheapest_w025.cells,0,NaN,NaN,17,cells,results/exp10b_unified_matrix/2026-08-27_095330,"cells where Causal-v3 has the lowest DATA + 0.25 ACK"
exp10.diverged.runs,0,NaN,NaN,3400,runs,results/exp10a_final_validation/2026-08-27_091546,""
exp10.invariant_violations,0,NaN,NaN,3400,violations,results/exp10a_final_validation/2026-08-27_091546,""
exp07a.Ideal_AoI.clean.tx_rate_hz,8.41111111111111,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.clean.rmse_mean,0.037745281664961,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.clean.rmse_std,1.42383098656489e-17,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.moderate.tx_rate_hz,11.2006944444444,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.moderate.rmse_mean,0.0976089758402525,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.moderate.rmse_std,0.000601104097928662,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.stressed.tx_rate_hz,15.7951388888889,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.stressed.rmse_mean,0.130637612572184,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.Ideal_AoI.stressed.rmse_std,0.000518703695390231,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.clean.tx_rate_hz,7.42222222222222,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.clean.rmse_mean,0.0444279179105767,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.clean.rmse_std,2.13574647984734e-17,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.moderate.tx_rate_hz,7.46833333333333,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.moderate.rmse_mean,0.11350145893963,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.moderate.rmse_std,0.00165704308089779,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.stressed.tx_rate_hz,7.47194444444444,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.stressed.rmse_mean,0.171930608909025,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A2cFixed_OL.stressed.rmse_std,0.003441695882596,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.clean.tx_rate_hz,8.41111111111111,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.clean.rmse_mean,0.037745281664961,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.clean.rmse_std,1.42383098656489e-17,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.moderate.tx_rate_hz,8.29222222222222,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.moderate.rmse_mean,0.105894575486758,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.moderate.rmse_std,0.00134337585833875,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.stressed.tx_rate_hz,8.16277777777778,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.stressed.rmse_mean,0.161197332799689,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A3cAdapt_OL.stressed.rmse_std,0.00303856746873302,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.clean.tx_rate_hz,8.41111111111111,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.clean.rmse_mean,0.037745281664961,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.clean.rmse_std,1.42383098656489e-17,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.moderate.tx_rate_hz,9.07222222222222,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.moderate.rmse_mean,0.100993779290076,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.moderate.rmse_std,0.00118423545622041,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.stressed.tx_rate_hz,9.07027777777778,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.stressed.rmse_mean,0.154527286803467,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A4cDual_mem.stressed.rmse_std,0.00248917667853355,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.clean.tx_rate_hz,8.43888888888889,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.clean.rmse_mean,0.0383171251773151,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.clean.rmse_std,7.11915493282446e-18,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.moderate.tx_rate_hz,13.3481944444444,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.moderate.rmse_mean,0.0874507539838487,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.moderate.rmse_std,0.000618763108577995,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.stressed.tx_rate_hz,18.2397222222222,NaN,NaN,20,Hz,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.stressed.rmse_mean,0.116986072880207,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07a.A5cInnov_pri.stressed.rmse_std,0.0010622045834973,NaN,NaN,20,m,results/exp07a_causal_ack/2026-08-21_202017,""
exp07b.moderate.reliable.rmse_mean,0.0876858081048285,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.moderate.reliable.rmse_std,0.000486082825507322,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.moderate.reliable.tx_rate_hz,13.3766666666667,NaN,NaN,20,Hz,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.moderate.reliable.mean_scale,0.283076698867376,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"adaptive threshold scale"
exp07b.moderate.reliable.min_scale,0.2,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"floor is aoiStateScaleMin = 0.20"
exp07b.moderate.L20D_fwd.rmse_mean,0.0772022604231239,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.moderate.L20D_fwd.rmse_std,0.000369846213042103,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.moderate.L20D_fwd.tx_rate_hz,18.3363888888889,NaN,NaN,20,Hz,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.moderate.L20D_fwd.mean_scale,0.201798800799405,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"adaptive threshold scale"
exp07b.moderate.L20D_fwd.min_scale,0.2,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"floor is aoiStateScaleMin = 0.20"
exp07b.stressed.reliable.rmse_mean,0.117326826114049,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.stressed.reliable.rmse_std,0.000865973802901506,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.stressed.reliable.tx_rate_hz,18.2402777777778,NaN,NaN,20,Hz,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.stressed.reliable.mean_scale,0.201798800799405,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"adaptive threshold scale"
exp07b.stressed.reliable.min_scale,0.2,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"floor is aoiStateScaleMin = 0.20"
exp07b.stressed.L20D_fwd.rmse_mean,0.117326826114049,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.stressed.L20D_fwd.rmse_std,0.000865973802901506,NaN,NaN,20,m,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.stressed.L20D_fwd.tx_rate_hz,18.2402777777778,NaN,NaN,20,Hz,results/exp07b_ack_impairment/2026-08-21_210001,""
exp07b.stressed.L20D_fwd.mean_scale,0.201798800799405,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"adaptive threshold scale"
exp07b.stressed.L20D_fwd.min_scale,0.2,NaN,NaN,20,-,results/exp07b_ack_impairment/2026-08-21_210001,"floor is aoiStateScaleMin = 0.20"
exp09a.di.clean.P10.rmse_mean,0.0345249153681788,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.P10.data_hz,100,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.P20.rmse_mean,0.0211627771768365,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.P20.data_hz,200,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.State_event.rmse_mean,0.0792418217410357,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.State_event.data_hz,43.2666666666667,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.Causal_v3.rmse_mean,0.0383171251773151,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.clean.Causal_v3.data_hz,84.3666666666667,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.P10.rmse_mean,0.0957105390826242,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.P10.data_hz,100,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.P20.rmse_mean,0.0729290243345605,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.P20.data_hz,200,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.State_event.rmse_mean,0.167832802596002,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.State_event.data_hz,42.94,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.Causal_v3.rmse_mean,0.0876412338261808,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.moderate.Causal_v3.data_hz,133.36,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.P10.rmse_mean,0.145384323762169,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.P10.data_hz,100,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.P20.rmse_mean,0.109847658580307,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.P20.data_hz,200,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.State_event.rmse_mean,0.253546444918596,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.State_event.data_hz,42.1583333333333,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.Causal_v3.rmse_mean,0.117137601783099,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.di.stressed.Causal_v3.data_hz,182.186666666667,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.P10.rmse_mean,0.0360644929479548,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.P10.data_hz,100,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.P20.rmse_mean,0.0253751088131474,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.P20.data_hz,200,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.State_event.rmse_mean,0.0823051474578866,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.State_event.data_hz,43.4333333333333,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.Causal_v3.rmse_mean,0.0413792333665601,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.clean.Causal_v3.data_hz,84.4666666666667,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.P10.rmse_mean,0.0977568166252615,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.P10.data_hz,100,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.P20.rmse_mean,0.0753934963699776,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.P20.data_hz,200,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.State_event.rmse_mean,0.170349054233705,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.State_event.data_hz,43.21,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.Causal_v3.rmse_mean,0.0893169131431638,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.moderate.Causal_v3.data_hz,134.925,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.P10.rmse_mean,0.14705731509147,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.P10.data_hz,100,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.P20.rmse_mean,0.111852988303212,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.P20.data_hz,200,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.State_event.rmse_mean,0.255713895521117,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.State_event.data_hz,42.4816666666667,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.Causal_v3.rmse_mean,0.119052808121526,NaN,NaN,20,m,results/exp09a_multiuav_6dof/2026-08-26_210235,""
exp09a.6dof.stressed.Causal_v3.data_hz,182.946666666667,NaN,NaN,20,Hz,results/exp09a_multiuav_6dof/2026-08-26_210235,""
